Session, Timestamp, Quiz_location, Action_type, parameters
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:17.485868, QUESTION 12, SUBMIT, answer=3; correct=False; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:23.457926, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:33.243275, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:45.077794, QUESTION 15, SUBMIT, answer=GB; correct=False; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:54.983871, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:08.134903, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:17.672960, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:39.131210, QUESTION 19, SUBMIT, answer=No; correct=False; graph=mix; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:51.684351, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:59.107361, QUESTION 21, SUBMIT, answer=line; correct=False; graph=N/A; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:59.107548, QUIZ, END, 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:24:58.779168, QUIZ, START, 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:25:33.878596, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:26:24.379531, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:26:49.602821, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:26:59.197858, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:27:18.201801, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:27:33.373358, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:28:23.108263, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:28:36.516009, QUESTION 8, SUBMIT, answer=27; correct=False; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:29:38.857783, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:30:35.553500, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:30:46.685878, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:30:54.413371, QUESTION 12, SUBMIT, answer=1; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:01.210108, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:07.665088, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:15.268770, QUESTION 15, SUBMIT, answer=GB; correct=False; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:24.755381, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:34.650885, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:46.956868, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:31:53.222715, QUESTION 19, SUBMIT, answer=Yes; correct=True; graph=mix; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:32:12.613475, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:32:21.046077, QUESTION 21, SUBMIT, answer=line; correct=False; graph=N/A; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:32:21.046204, QUIZ, END,
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:48:28.833727, QUIZ, START, 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:48:52.697306, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:49:09.608212, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:49:28.528811, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:49:43.065614, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:50:07.359054, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:50:32.309066, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:50:47.260870, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:51:54.108906, QUESTION 8, SUBMIT, answer=35; correct=False; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:53:54.300753, QUESTION 9, SUBMIT, answer=1; correct=False; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:54:08.653678, QUESTION 10, SUBMIT, answer=3; correct=False; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:54:37.575564, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:54:48.130227, QUESTION 12, SUBMIT, answer=1; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:54:55.041494, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:55:00.129841, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:55:08.521626, QUESTION 15, SUBMIT, answer=GB; correct=False; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:55:45.654140, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:55:57.904226, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:56:07.959116, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:56:22.402317, QUESTION 19, SUBMIT, answer=No; correct=False; graph=mix; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:56:30.072111, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:56:38.792437, QUESTION 21, SUBMIT, answer=area; correct=False; graph=N/A; 
f48025da-77fa-441a-8dce-bf8819003055, 2023-12-09 15:56:38.793436, QUIZ, END, 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:00:41.128186, QUIZ, START, 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:00:50.323137, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:00:57.899105, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:01:06.211217, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:01:12.572041, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:01:19.588352, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:01:27.540899, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:01:42.138886, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:01:51.541008, QUESTION 8, SUBMIT, answer=31; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:01.443636, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:07.768589, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:11.825514, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:14.587240, QUESTION 12, SUBMIT, answer=1; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:19.869013, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:22.842696, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:32.133086, QUESTION 15, SUBMIT, answer=GER; correct=False; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:36.629768, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:42.455275, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:02:47.725447, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:03:00.409223, QUESTION 19, SUBMIT, answer=Yes; correct=True; graph=mix; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:03:12.022869, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:03:14.689372, QUESTION 21, SUBMIT, answer=area; correct=False; graph=N/A; 
b12d587f-8234-468e-ba77-4ab99dd3ca06, 2023-12-09 16:03:14.690408, QUIZ, END, 
